Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug class,Drug name,Drug code
543,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22551,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below c2",7,1,,,42.71,,,,,NA,NA,NA
544,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22552,"Arthrodesis, anterior interbody, incl disc space prep, discectomy, osteophytectomy & decom",6,1,,,49.55,,,,,NA,NA,NA
545,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);",5,1,,3.51,30.44,,,,,NA,NA,NA
546,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,29888,Arthroscopically aided anterior cruciate ligament repair/augmentation or reconstruction,4,1,,1.16,26.16,,,,,NA,NA,NA
547,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22846,Anterior instrumentation; 4 to 7 vertebral segments (list separately in addition to code for primary procedure),3,1,,,37.93,,,,,NA,NA,NA
548,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,20931,"Allograft, structural, for spine surgery only (list separately in addition to code for primary procedure)",3,1,,,77.56,,,,,NA,NA,NA
549,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22610,"Arthrodesis, posterior or posterolateral technique, single level; thoracic (with lateral transverse technique, when performed)",2,1,,0.13,0.13,,,,,NA,NA,NA
550,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22630,"Arthrodesis, posterior interbody technique, including laminectomy and/or discectomy to prepare interspace (other than for decompression), single interspace; lumbar",2,1,,,41.48,,,,,NA,NA,NA
551,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22633,"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; lumbar",2,1,,,41.48,,,,,NA,NA,NA
552,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22855,Removal of anterior instrumentation,2,1,,,22.48,,,,,NA,NA,NA
553,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22840,"Posterior non-segmental instrumentation (eg, harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at c1, facet screw fixation) (list separately in addition to code for primary procedure)",11,0,0.09,,64.01,,,,,NA,NA,NA
554,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",15,0,0.07,194.36,79.52,,,,,NA,NA,NA
555,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",18,0,0.06,194.36,91.31,,,,,NA,NA,NA
556,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22558,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",20,0,0.05,194.36,82.72,,,,,NA,NA,NA
557,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22853,"Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each interspace (list separately in addition to code for primary procedure)",27,0,0.04,97.24,61.33,,,,,NA,NA,NA
558,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22845,Anterior instrumentation; 2 to 3 vertebral segments (list separately in addition to code for primary procedure),14,0,0,,66.08,,,,,NA,NA,NA
559,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22585,Arthrd ant ntrbd min dsc ea addl interspace,11,0,0,97.24,113.88,,,,,NA,NA,NA
560,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22614,"Arthrodesis, posterior or posterolateral technique, single level; each additional vertebral segment (list separately in addition to code for primary procedure)",10,0,0,97.24,77.6,,,,,NA,NA,NA
561,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,63048,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each additional segment, cervical, thoracic, or lumbar (list separately in addition to code for primary procedure)",6,0,0,194.36,54.79,,,,,NA,NA,NA
562,Carrier B,2020,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,63056,"Transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)",4,0,0,,91.05,,,,,NA,NA,NA
563,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,44120,Removal of small intestine,2,1,,,,,,,,NA,NA,NA
564,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,44625,Repair bowel opening,1,1,,,,,,,,NA,NA,NA
565,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,33416,Revise ventricle muscle,1,1,,,,,,,,NA,NA,NA
566,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,61582,Craniofacial approach skull,1,1,,,,,,,,NA,NA,NA
567,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,58952,Resect ovarian malignancy,1,1,,,24,,,,,NA,NA,NA
568,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,38571,"Laparoscopy, surgical; with bilateral total pelvic lymphadenectomy",1,1,,,,,,,,NA,NA,NA
569,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,19303,"Mastectomy, simple, complete",1,1,,,72,,,,,NA,NA,NA
570,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,44139,Mobilization of colon,1,1,,,24,,,,,NA,NA,NA
571,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22633,"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; lumbar",2,0.5,,,60,,,,,NA,NA,NA
572,Carrier C,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,49320,Laps abd prtm and omentum dx w/wo spec br/wa spx,2,0,,,96,,,,,NA,NA,NA
573,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,44120,Removal of small intestine,2,1,,,,,,,,NA,NA,NA
574,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,44625,Repair bowel opening,1,1,,,,,,,,NA,NA,NA
575,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,33416,Revise ventricle muscle,1,1,,,,,,,,NA,NA,NA
576,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,61582,Craniofacial approach skull,1,1,,,,,,,,NA,NA,NA
577,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,58952,Resect ovarian malignancy,1,1,,,24,,,,,NA,NA,NA
578,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,38571,"Laparoscopy, surgical; with bilateral total pelvic lymphadenectomy",1,1,,,,,,,,NA,NA,NA
579,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,19303,"Mastectomy, simple, complete",1,1,,,72,,,,,NA,NA,NA
580,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,44139,Mobilization of colon,1,1,,,24,,,,,NA,NA,NA
581,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22633,"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; lumbar",2,0.5,,,60,,,,,NA,NA,NA
582,Carrier C,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,49320,Laps abd prtm and omentum dx w/wo spec br/wa spx,2,0,,,96,,,,,NA,NA,NA
583,Carrier D,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);",12,1,,69.74,161.59,,,,,NA,NA,NA
584,Carrier D,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,49000,"Exploratory laparotomy, exploratory celiotomy with or without biopsy(s) (separate procedure)",9,1,,,86.56,,,,,NA,NA,NA
585,Carrier D,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",8,1,,,44.85,,,,,NA,NA,NA
586,Carrier D,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,96416,"Chemotherapy administration, intravenous infusion technique; initiation of prolonged chemotherapy infusion (more than 8 hours), requiring use of a portable or implantable pump",8,1,,7.68,83.3,,,,,NA,NA,NA
587,Carrier D,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft",23,0.96,,,35.55,,,,,NA,NA,NA
588,Carrier D,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22840,"Posterior non-segmental instrumentation (eg, harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at c1, facet screw fixation) (list separately in addition to code for primary procedure)",12,0.92,,,64.48,,,,,NA,NA,NA
